Covidence #,Study ID,Title,Reviewer Name,Study DOI,Year published ,Full title,Study setting ,Disease type (choose all that apply),Model type,"""Other"" details",Stochasticity in model ,Scientific problem being solved,How many parameters were calibrated?,External beliefs or evidence,Choice of parameters to calibrate ,What justification was provided for choice of parameters to calibrate?,"""Other"" details.",Type of data used for defining calibration targets (select all that apply),"""Other"" details ",How many calibration targets were used for estimation?,Resolution of data  used for defining calibration targets,Number of steps: single or sequential? ,Name of calibration algorithm ,"""Other"" details ",Is calibration implementation (code) available in an open-access repository? ,What programming language was used for calibration?,Do authors list any programming packages used for calibration?,Goodness-of-fit (GOF) measure employed within calibration algorithm,"If ""Not clear"", paste the relevant text here. ","""Other"" details",Nature of calibration results,"""Other"" details",How are calibration results reported? ,"""Other"" details.",How is uncertainty in calibration outputs reported? ,"""Other"" details.", What is the size of the calibration output?
2421,Kim 2022,Heterogeneous impact of Covid-19 response on tuberculosis burden by age group.,Consensus,https://doi.org/10.1038/s41598-022-18135-6,2022,Heterogeneous impact of Covid‑19 response on tuberculosis burden by age group,South Korea,TB,Compartmental ,"",Deterministic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ",Multiple,Not reported,Subset of parameters,Not reported ,"",Incidence ,"",Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Not reported,Maximum likelihood estimation,"",Not reported ,Not reported,No,Not reported,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",1
2366,Havumaki 2023,"Spatially-targeted tuberculosis screening has limited impact beyond household contact tracing in Lima, Peru: A model-based analysis.",Consensus,https://doi.org/10.1371/journal.pone.0293519,2023,"Spatially-targeted tuberculosis screening has limited impact beyond household contact tracing in Lima, Peru: A model-based analysis",Peru,TB,Individual-based ,"",Not reported,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are relevant to question of interest.; Parameters are uncertain.,"",Notifications / diagnoses; Spatial,"",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Other ,sample-importance-resampling ,Not reported ,R,No,Other: Other,"","we determined if the model performs better than random using a permutation test and second, we compared the global spatial autocorrelation to the data among each resampled parameter set using Global Moran’s I.",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","2,500"
2353,Altes 2018,Latent tuberculosis infection in foreign-born communities: Import vs. transmission in The Netherlands derived through mathematical modelling.,Consensus,https://doi.org/10.1371/journal.pone.0192282,2018,Latent tuberculosis infection in foreign-born communities: Import vs. transmission in The Netherlands derived through mathematical modelling.,Netherlands,TB,Compartmental ,"",Deterministic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"",Incidence ; Notifications / diagnoses,"",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Maximum likelihood estimation,"",Not reported ,Not reported,No,Data likelihood ,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.","",1000
2346,Abiodun 2018,Modelling the impact of climatic variables on malaria transmission,Consensus,NA,2018,"Modelling the impact of climatic variables on
malaria transmission",South Africa,Malaria,Compartmental ,"",Deterministic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"",Notifications / diagnoses,"",Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Not reported,Not reported,"",Not reported ,Not reported,No,Not reported,"","",Not reported ,"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",Not reported
2344,Arregui 2018,Data-driven model for the assessment of Mycobacterium tuberculosis transmission in evolving demographic structures.,Consensus,10.1073/pnas.1720606115,2018,Data-driven model for the assessment of Mycobacterium tuberculosis transmission in evolving demographic structures,"India, Indonesia, Nigeria, and Ethiopia",TB,Compartmental ,"",Not reported,Assess impact of model assumptions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are relevant to question of interest.,"","Incidence ; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Other , Levemberg–Marquard optimization algorithm ,Not reported ,C++,Yes,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",Not reported
2323,Fu 2018,Modelling the effect of discontinuing universal Bacillus Calmette-Guérin vaccination in an intermediate tuberculosis burden setting.,Consensus,https://doi.org/10.1016/j.vaccine.2018.08.019,2018,Modelling the effect of discontinuing universal Bacillus Calmette-Guérin vaccination in an intermediate tuberculosis burden setting,Taiwan,TB,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,Not reported,Subset of parameters,Parameters are uncertain.,"",Notifications / diagnoses,"",Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Markov Chain Monte Carlo,"",Not reported ,Matlab,No,Not reported,"","",Not reported ,"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",Not reported
2293,Ackley 2019,"Multiple exposures, reinfection and risk of progression to active tuberculosis",Consensus,http://dx.doi.org/10.1098/rsos.180999,2019,"Multiple exposures, reinfection and risk of progression to active tuberculosis",Canada,TB,Other,binomial risk model,Not reported,"Understand disease mechanisms (e.g., through inference on a parameter) ",Multiple,Other: No prior knowledge is incorporated for parameters to be calibrated.,Subset of parameters,Not reported ,"","Contact/exposure (e.g., number of sexual partners, number of mosquito bites); Other ",Probability of active disease,Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Maximum likelihood estimation,"",Link reported and accessible,Not reported,No,Data likelihood ,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",1
2290,Chong 2019,Mathematical modelling of the impact of treating latent tuberculosis infection in the elderly in a city with intermediate tuberculosis burden.,Consensus, https://doi.org/10.1038/s41598-019-41256-4 ,2019,Mathematical modelling of the impact of treating latent tuberculosis infection in the elderly in a city with intermediate tuberculosis burden,China,TB,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are relevant to question of interest.; Parameters are uncertain.,"","Demographic (e.g., population size, sex and age distribution); Notifications / diagnoses","",Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Markov Chain Monte Carlo,"",Not reported ,R,No,Other ,""," R-square, mean absolute error (MAE), and mean absolute percentage error (MAPE)",Not reported ,"",Calibration results are not reported. ,"",Uncertainty in calibration outputs is not reported.,"","100,000"
2285,Arinaminpathy 2019,Strategies for ending tuberculosis in the South-East Asian Region: A modelling approach.,Consensus,https://doi.org/10.4103/ijmr.ijmr_1901_18,2019,Strategies for ending tuberculosis in the South-East Asian Region: A modelling approach.,"Bangladesh, Bhutan, Democratic People's Republic of Korea, India, Indonesia, Maldives, Myanmar, Nepal, Sri Lanka, Thailand, Timor-Leste",TB,Compartmental ,"",Not reported,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"",Incidence ; Notifications / diagnoses; Prevalence; Other ,estimated proportion of incident TB disease having DR-TB,Multiple ,"Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Maximum likelihood estimation,Bayesian melding,Not reported ,Not reported,No,Data likelihood ,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",Not reported
2228,Choinski 2019,Simple criss-cross model of epidemic for heterogeneous populations,Consensus,https://doi.org/10.1016/j.cnsns.2019.104920,2019,Simple criss-cross model of epidemic for heterogeneous populations,Poland,TB,Compartmental ,"",Deterministic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ",Multiple,Not reported,Subset of parameters,Not reported ,"","Demographic (e.g., population size, sex and age distribution)","",Not reported ,Not reported ,Not reported,Not reported,"",Not reported ,Not reported,No,Not reported,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",Not reported
2155,Cilloni 2020,Trade-offs between cost and accuracy in active case finding for tuberculosis: A dynamic modelling analysis.,Consensus,https://doi.org/10.1371/journal.pmed.1003456,2020,Trade-offs between cost and accuracy in active case finding for tuberculosis: A dynamic modelling analysis.,India,TB,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"","Climate (e.g., temperature, humidity, rainfall); Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","drug resistant TB fraction, symptomatic fraction, smear-positive fraction",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Manual (hand-tuning),"Latin hypercube sampling to sample model parameters from their respective ranges (10,000 samples) and Parameter sets were accepted in the sampling if they provided model projections that fell within the calibration target ranges.",Not reported ,Not reported,No,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"Parameter sets that yielded 2018 projections within the calibration target ranges were accepted, and others were rejected.","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","10,000"
2098,Citron 2021,Quantifying malaria acquired during travel and its role in malaria elimination on Bioko Island,Consensus,10.1186/s12936-021-03893-x,2021,Quantifying malaria acquired during travel and its role in malaria elimination on Bioko Island,Equatorial Guinea,Malaria,Individual-based ,"",Stochastic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions",Single ,Not reported,Subset of parameters,Parameters are relevant to question of interest.,"",Other ,Vector ecology (P. falciparum parasite rate),Single ,"Modeled estimates  (e.g., WHO TB incidence estimates)",Not reported,Not reported,"",Link reported and accessible,Not reported,No,Not reported,"","",Not reported ,"","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",1000
2088,Arinaminpathy 2021,Engaging with the private healthcare sector for the control of tuberculosis in India: cost and cost-effectiveness.,Consensus,http://dx.doi.org/10.1136/bmjgh-2021-006114,2021,Engaging with the private healthcare sector for the control of tuberculosis in India: cost and cost-effectiveness,India,TB,Compartmental ,"",Not reported,Evaluate interventions,Multiple,Not reported,Subset of parameters,Not reported ,"",Incidence ; Prevalence; Other ,Percent of incident TB that is drug-resistant,Multiple ,Not reported ,Not reported,Other , Bayesian melding,Not reported ,Not reported,No,Not reported,"","",Not reported ,"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",Not reported
2078,Ayabina 2021,The impact of active case finding on transmission dynamics of tuberculosis: A modelling study.,Consensus,10.1371/journal.pone.0257242,2021,The impact of active case finding on transmission dynamics of tuberculosis: A modelling study,Vietnam and Nepal,TB,Not reported,"",Not reported,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are relevant to question of interest.,"","Incidence ; Treatment and treatment outcomes (e.g., mortality, recovery)","",Single ,"Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Markov Chain Monte Carlo,"",Not reported ,Not reported,No,Not reported,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",10000
2061,Champagne 2022,Using observed incidence to calibrate the transmission level of a mathematical model for Plasmodium vivax dynamics including case management and importation.,Consensus,https://doi.org/10.1016/j.mbs.2021.108750,2021,Using observed incidence to calibrate the transmission level of a mathematical model for Plasmodium vivax dynamics including case management and importation,Panama,Malaria,Compartmental ,"",Deterministic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"",Incidence ; Other ,Proportion of imported cases,Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Other ,inference on parameter in the Bayesian framework,Link reported and accessible,R,No,Not reported,"","",Sample estimate (multiple parameter sets),"","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","10,000"
1970,Beloconi 2023,"Malaria, climate variability, and interventions: modelling transmission dynamics.",Consensus,https://doi.org/10.1038/s41598-023-33868-8,2023,"Malaria, climate variability, and interventions: modelling transmission dynamics",Kenya,Malaria,Compartmental ,"",Stochastic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Predict disease trends ",Multiple,No prior knowledge is incorporated for parameters to be calibrated. ,All parameters,Parameters are relevant to question of interest.,"","Climate (e.g., temperature, humidity, rainfall); Incidence ; Other ",proportion of bed net use ,Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Not reported,Other ,sequential Monte Carlo method based on particle filtering,Not reported ,R,Yes,Data likelihood ,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",1
1961,Cho 2023,Cost-Effectiveness of Age-Expanding Strategy of Latent Tuberculosis Infection Treatment in Household Contacts in South Korea.,Consensus,https://doi.org/10.3349/ymj.2022.0624,2023,Cost-Effectiveness of Age-Expanding Strategy of Latent Tuberculosis Infection Treatment in Household Contacts in South Korea,South Korea,TB,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"",Notifications / diagnoses,"",Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Not reported,Maximum likelihood estimation,"",Not reported ,Not reported,No,Data likelihood ,"","",Point estimate (single parameter / parameter set),"","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",1
