"Covidence.ID","Name.of.calibration.algorithm","Other_Name.of.calibration.algorithm","Other_Name.of.calibration.algorithm_V2"
1949,"Other ","Grey Wolf Optimizer (GWO)","Grey Wolf Optimizer (GWO)"
1942,"Other ","Latin Hypercube Sampling","Latin Hypercube Sampling"
1937,"Not reported","",""
1922,"Least squares estimation","",""
1919,"Least squares estimation","",""
1913,"Other ","Incremental Mixture Importance Sampling","Incremental Mixture Importance Sampling (IMIS)"
1902,"Not reported","",""
1900,"Approximate Bayesian Computation","",""
1897,"Not reported","",""
1896,"Not reported","",""
1888,"Least squares estimation","",""
1873,"Least squares estimation","",""
1871,"Least squares estimation","",""
1866,"Other ","Local sequential quadratic programming (DESQP) optimization algorithm","Local sequential quadratic programming (DESQP) optimization algorithm"
1864,"Markov Chain Monte Carlo","",""
1863,"Not reported","",""
1861,"Markov Chain Monte Carlo","",""
1859,"Approximate Bayesian Computation","",""
1858,"Other ","Bayesian evidence synthesis; incremental mixture importance sampling ","Bayesian evidence synthesis; incremental mixture importance sampling "
1853,"Markov Chain Monte Carlo","",""
1849,"Other ","Incremental Mixture Importance Sampling","Incremental Mixture Importance Sampling (IMIS)"
1848,"Least squares estimation","",""
1847,"Other ","Bayesian melding","Bayesian melding"
1846,"Least squares estimation","",""
1844,"Least squares estimation","",""
1842,"Least squares estimation","",""
1838,"Other ","Approximate Bayesian Computation Accept-Reject Random sampling (ABC-RS) and Approximate Bayesian Computation Markov Chain Monte Carlo (ABC-MCMC) rejection sampling process","Approximate Bayesian Computation Accept-Reject Random sampling (ABC-RS) and Approximate Bayesian Computation Markov Chain Monte Carlo (ABC-MCMC) rejection sampling process"
1836,"Not reported","",""
1828,"Least squares estimation","",""
1826,"Other ","Incremental Mixture Importance Sampling","Incremental Mixture Importance Sampling (IMIS)"
1822,"Least squares estimation","",""
1799,"Least squares estimation","",""
1782,"Not reported","",""
1754,"Not reported","",""
1751,"Markov Chain Monte Carlo","",""
1747,"Least squares estimation","",""
1745,"Other ","fourth-order Runge–Kutta method","fourth-order Runge–Kutta method"
1744,"Not reported","",""
1725,"Not reported","",""
1722,"Other ","Equilibrium values of 10%, 20%, and 40%","Equilibrium values of 10%, 20%, and 40%"
1718,"Least squares estimation","",""
1711,"Approximate Bayesian Computation","",""
1700,"Other "," Grey Wolf Optimizer + MCMC"," Grey Wolf Optimizer + MCMC"
1673,"Markov Chain Monte Carlo","",""
1628,"Least squares estimation","",""
1586,"Other ","Approximate Bayesian Computation and Markov Chain Monte Carlo","Approximate Bayesian Computation and Markov Chain Monte Carlo"
1570,"Least squares estimation","",""
1547,"Least squares estimation","",""
1545,"Maximum likelihood estimation","",""
1532,"Least squares estimation","",""
1530,"Manual (hand-tuning)","",""
1528,"Maximum likelihood estimation","",""
1524,"Manual (hand-tuning)","",""
1521,"Not reported","",""
1501,"Least squares estimation","",""
1466,"Markov Chain Monte Carlo","",""
1421,"Other ","Latin Hypercube Sampling","Latin Hypercube Sampling"
1407,"Other ","two-stage calibration process: manual first, followed by approximate Bayesian computation (ABC)-Markov chain 
Monte Carlo (MCMC) ","two-stage calibration process: manual first, followed by approximate Bayesian computation (ABC)-Markov chain 
Monte Carlo (MCMC) "
1405,"Other ","Root Mean Squared (RMS) deviation","Root Mean Squared (RMS) deviation"
1398,"Manual (hand-tuning)","",""
1393,"Other ","Bayesian melding","Bayesian melding"
1392,"Markov Chain Monte Carlo","",""
1351,"Other ","Parametric differential equation","Parametric differential equation"
1337,"Approximate Bayesian Computation","",""
1333,"Markov Chain Monte Carlo","",""
1307,"Not reported","",""
1303,"Other ","Sampling-importance-resampling (SIR) approach","Sampling importance resampling"
1291,"Not reported","",""
1285,"Not reported","",""
1283,"Markov Chain Monte Carlo","",""
1281,"Maximum likelihood estimation","",""
1279,"Other ","Both Markov Chain Monte Carlo for Credible Intervals, and Maximum Likelihood Estimation","Both Markov Chain Monte Carlo for Credible Intervals, and Maximum Likelihood Estimation"
1277,"Markov Chain Monte Carlo","",""
1273,"Manual (hand-tuning)","",""
1259,"Manual (hand-tuning)","",""
1254,"Markov Chain Monte Carlo"," "," "
1244,"Other ","particle Markov
chain Monte Carlo (PMCMC","Sequential Monte Carlo method based on particle filtering"
1242,"Other ","multi-start algorithm","multi-start algorithm"
1240,"Least squares estimation","",""
1239,"Not reported","A Bayesian framework","A Bayesian framework"
1237,"Not reported","",""
1233,"Not reported","",""
1232,"Other ","Sampling importance resampling","Sampling importance resampling"
1227,"Markov Chain Monte Carlo","",""
1222,"Other ","Approximate Bayesian Computation and Markov Chain Monte Carlo","Approximate Bayesian Computation and Markov Chain Monte Carlo"
1216,"Not reported","",""
1197,"Other ","Bayesian melding","Bayesian melding"
1196,"Not reported","",""
1186,"Not reported","",""
1185,"Maximum likelihood estimation","",""
1183,"Markov Chain Monte Carlo","",""
1182,"Maximum likelihood estimation","",""
1179,"Approximate Bayesian Computation","",""
1173,"Other ","Approximate Bayesian computation with sequential Monte Carlo sampling","Aproximate Bayesian Computation Sequential Monte Carlo (ABC-SMC)"
1169,"Maximum likelihood estimation","",""
1160,"Other ","Incremental Mixture Importance Sampling","Incremental Mixture Importance Sampling (IMIS)"
1159,"Least squares estimation","",""
1155,"Other "," Incremental Mixture Importance Sampling","Incremental Mixture Importance Sampling (IMIS)"
1148,"Markov Chain Monte Carlo","",""
1144,"Other ","Sequential Monte Carlo method based on particle filtering known as
MIF for Likelihood Maximization by Iterated Filtering","Sequential Monte Carlo method based on particle filtering"
1140,"Markov Chain Monte Carlo","",""
1134,"Maximum likelihood estimation","",""
1130,"Markov Chain Monte Carlo","",""
1099,"Not reported","",""
1097,"Approximate Bayesian Computation","",""
1096,"Not reported","",""
1078,"Markov Chain Monte Carlo","",""
1072,"Markov Chain Monte Carlo","",""
1071,"Other ","Parametric g-formula ","Parametric g-formula "
1069,"Other ","history matching with model emulation","History matching with emulation"
1067,"Maximum likelihood estimation","",""
1061,"Approximate Bayesian Computation","",""
1047,"Markov Chain Monte Carlo","",""
1031,"Markov Chain Monte Carlo","",""
1027,"Not reported","",""
1015,"Least squares estimation","",""
1014,"Maximum likelihood estimation","",""
1009,"Other ","Diffusion approximation, minimum constrast estimation","Diffusion approximation, minimum constrast estimation"
1003,"Approximate Bayesian Computation","",""
994,"Markov Chain Monte Carlo","",""
987,"Not reported","",""
980,"Least squares estimation","",""
976,"Markov Chain Monte Carlo","",""
972,"Manual (hand-tuning)","",""
958,"Approximate Bayesian Computation","",""
956,"Least squares estimation","",""
949,"Least squares estimation","",""
948,"Least squares estimation","",""
944,"Least squares estimation","",""
936,"Approximate Bayesian Computation","",""
925,"Not reported","",""
910,"Markov Chain Monte Carlo","",""
907,"Not reported","",""
904,"Approximate Bayesian Computation","",""
894,"Other ","Latin Hypercube Sampling","Latin Hypercube Sampling"
892,"Manual (hand-tuning)","",""
890,"Other ","Monte-Carlo filtering","Monte-Carlo filtering"
889,"Other ","Step-wise minimization algorithm","Step-wise minimization algorithm"
885,"Least squares estimation","",""
883,"Maximum likelihood estimation","",""
877,"Not reported","",""
871,"Other ","using a calibration function based on the deviance statistic for Poisson distributions","using a calibration function based on the deviance statistic for Poisson distributions"
868,"Approximate Bayesian Computation","",""
867,"Other ","adaptive population Monte Carlo Approximate Bayesian Computation
algorithm (APMC-ABC)","adaptive population Monte Carlo Approximate Bayesian Computation
algorithm (APMC-ABC)"
864,"Not reported","",""
863,"Least squares estimation","",""
861,"Approximate Bayesian Computation","",""
859,"Other ","Bayesian B-splines","Bayesian B-splines"
855,"Markov Chain Monte Carlo","",""
854,"Other ","parallel simultaneous perturbation 
optimisation (PSPO)","Parallel Simultaneous perturbation Optimisation (PSPO)"
852,"Other ","Latin Hypercube Sampling","Latin Hypercube Sampling"
845,"Other ","Nelder–Mead algorithm (NM) + Incremental mixture importance sampling (IMIS)","Nelder–Mead algorithm (NM) + Incremental mixture importance sampling (IMIS)"
842,"Approximate Bayesian Computation","Not reported","Not reported"
831,"Not reported","",""
826,"Least squares estimation","",""
825,"Not reported","",""
819,"Not reported","",""
805,"Other ","global optimisation solver (fmincon with multistart in MATLAB) by minimising the sum log-likelihood of the calibration points","global optimisation solver (fmincon with multistart in MATLAB) by minimising the sum log-likelihood of the calibration points"
798,"Other ","Multiobjective genetic algorithm","Multiobjective genetic algorithm"
797,"Other ","Latin hypercube sampling","Latin hypercube sampling"
789,"Not reported","",""
788,"Other ","Nelder-Mead algorithm","Nelder-Mead algorithm"
781,"Least squares estimation","",""
775,"Least squares estimation","",""
747,"Approximate Bayesian Computation","",""
744,"Approximate Bayesian Computation","",""
742,"Approximate Bayesian Computation","",""
733,"Markov Chain Monte Carlo","",""
723,"Markov Chain Monte Carlo","",""
721,"Other ","Incremental Mixture Importance Sampling","Incremental Mixture Importance Sampling (IMIS)"
713,"Other ","Log likelihood ","Log likelihood "
691,"Manual (hand-tuning)","",""
680,"Other ","Bayesian framework by assigning plausible ranges to model parameters based on available data","Bayesian framework by assigning plausible ranges to model parameters based on available data"
679,"Markov Chain Monte Carlo","",""
663,"Not reported","",""
660,"Other ","Monte Carlo filtering","Monte-Carlo filtering"
649,"Other ","Approximate Bayesian Computation with Sequential Monte Carlo sampling (ABC-SMC) method","Aproximate Bayesian Computation Sequential Monte Carlo (ABC-SMC)"
642,"Not reported","",""
631,"Other ","No-U-Turn Sampler (NUTS), a variant of Hamiltonian Monte Carlo ","No-U-Turn Sampler (NUTS), a variant of Hamiltonian Monte Carlo "
613,"Markov Chain Monte Carlo","",""
610,"Not reported","",""
603,"Approximate Bayesian Computation","",""
600,"Other ","Bayesian melding","Bayesian melding"
598,"Not reported","",""
586,"Not reported","",""
578,"Least squares estimation","",""
574,"Not reported","",""
564,"Least squares estimation","",""
562,"Other ","Genetic algorithm","Genetic algorithm"
549,"Other ","Monte Carlo filtering","Monte-Carlo filtering"
546,"Not reported","",""
545,"Not reported","",""
544,"Other ","Sampling importance resampling","Sampling importance resampling"
535,"Maximum likelihood estimation","",""
529,"Other ","Any runs producing HIV prevalence projections that agreed with early IBBA HIV prevalence data for FSW (1990 or 1995) and clients (1999) and recent HIV prevalence data for young MSM from 2014 to 2016 were selected as a model fit.","Any runs producing HIV prevalence projections that agreed with early IBBA HIV prevalence data for FSW (1990 or 1995) and clients (1999) and recent HIV prevalence data for young MSM from 2014 to 2016 were selected as a model fit."
526,"Manual (hand-tuning)","",""
508,"Least squares estimation","",""
504,"Maximum likelihood estimation","",""
500,"Manual (hand-tuning)","",""
499,"Least squares estimation","",""
495,"Not reported","",""
488,"Markov Chain Monte Carlo","",""
487,"Other ","Aproximate Bayesian Computation Sequential Monte Carlo (ABC-SMC) algorithm ","Aproximate Bayesian Computation Sequential Monte Carlo (ABC-SMC)"
483,"Manual (hand-tuning)","",""
482,"Other ","Broyden–Fletcher–Goldfarb–Shanno algorithm + Nelder–Mead algorithm","Broyden–Fletcher–Goldfarb–Shanno algorithm + Nelder–Mead algorithm"
479,"Least squares estimation","",""
477,"Other ","Approximate Bayesian Computation Sequential Monte Carlo (ABC SMC) method","Aproximate Bayesian Computation Sequential Monte Carlo (ABC-SMC)"
476,"Markov Chain Monte Carlo","",""
462,"Least squares estimation","",""
461,"Other ","Predictor-corrector method","Predictor-corrector method"
450,"Not reported","",""
447,"Not reported","",""
440,"Maximum likelihood estimation","",""
439,"Other ","Monte Carlo filtering","Monte-Carlo filtering"
436,"Manual (hand-tuning)","",""
421,"Not reported","",""
419,"Maximum likelihood estimation","",""
414,"Other ","simple search procedure","simple search procedure"
408,"Markov Chain Monte Carlo","",""
391,"Other ","Bayesian framework","Bayesian framework"
390,"Least squares estimation","",""
378,"Not reported","",""
375,"Other ","Monte Carlo filtering","Monte-Carlo filtering"
374,"Not reported","",""
373,"Least squares estimation","",""
372,"Least squares estimation","",""
369,"Other ","Latin Hypercube Sampling","Latin Hypercube Sampling"
367,"Markov Chain Monte Carlo","",""
363,"Not reported","",""
361,"Least squares estimation","",""
359,"Other ","Nelder-Mead","Nelder-Mead algorithm"
355,"Other ","Broyden-Fletcher-Goldfarb-Shanno algorithm","Broyden-Fletcher-Goldfarb-Shanno algorithm"
354,"Manual (hand-tuning)","",""
351,"Not reported","",""
346,"Maximum likelihood estimation","",""
342,"Not reported","",""
329,"Markov Chain Monte Carlo","",""
326,"Not reported","",""
325,"Markov Chain Monte Carlo","",""
313,"Approximate Bayesian Computation","",""
312,"Other ","Incremental mixture importance sampling","Incremental Mixture Importance Sampling (IMIS)"
311,"Other ","A deviance-based loss was calculated using the following formula:
	 ","A deviance-based loss was calculated using the following formula:
	 "
305,"Markov Chain Monte Carlo","",""
302,"Other ","Coordinate descent algorithm","Coordinate descent algorithm"
301,"Not reported","",""
293,"Not reported","",""
292,"Not reported","",""
287,"Not reported","",""
284,"Maximum likelihood estimation","",""
282,"Not reported","",""
281,"Least squares estimation","",""
278,"Other ","Monte Carlo filtering","Monte-Carlo filtering"
277,"Not reported","",""
274,"Not reported","",""
270,"Approximate Bayesian Computation","",""
268,"Not reported","",""
265,"Not reported","",""
262,"Not reported","",""
261,"Other ","out-of-bounds penalty measures, target error measures, and the number of targets that were out of bounds.","out-of-bounds penalty measures, target error measures, and the number of targets that were out of bounds."
251,"Other ","Incremental Mixture Importance Sampling (IMIS) ","Incremental Mixture Importance Sampling (IMIS)"
243,"Least squares estimation","",""
240,"Least squares estimation","",""
236,"Maximum likelihood estimation","",""
232,"Other ","Monte Carlo filtering","Monte-Carlo filtering"
226,"Least squares estimation","",""
224,"Other ","Approximate Bayesian Computation with Sequential Monte Carlo Sampling","Aproximate Bayesian Computation Sequential Monte Carlo (ABC-SMC)"
215,"Not reported","",""
211,"Markov Chain Monte Carlo","",""
206,"Least squares estimation","",""
179,"Markov Chain Monte Carlo","",""
166,"Other ","a Bayesian framework with incremental mixture importance sampling","Incremental Mixture Importance Sampling (IMIS)"
164,"Maximum likelihood estimation","",""
125,"Approximate Bayesian Computation","",""
117,"Other ","Negative log-likelihood-distributed error with the optimization and the L-BFGS-B methods","Negative log-likelihood-distributed error with the optimization and the L-BFGS-B methods"
79,"Other ","incremental mixture importance sampling","Incremental Mixture Importance Sampling (IMIS)"
76,"Least squares estimation","",""
72,"Not reported","",""
70,"Other ","a multivariable regression of the modelled HIV prevalence against the prevalence of using professional injectors, heroin use, and frequent injecting across all cities was performed. Parameters sets for which the modelled regression coefficients lay within the 95% confidence intervals (95%CI) of those from the data regression were accepted, with all others rejected. Then, a second criterion was applied that the modelled regression R^2-value must lie within +/-25% of the data regression R^2-value.","a multivariable regression of the modelled HIV prevalence against the prevalence of using professional injectors, heroin use, and frequent injecting across all cities was performed. Parameters sets for which the modelled regression coefficients lay within the 95% confidence intervals (95%CI) of those from the data regression were accepted, with all others rejected. Then, a second criterion was applied that the modelled regression R^2-value must lie within +/-25% of the data regression R^2-value."
54,"Approximate Bayesian Computation","",""
37,"Not reported","",""
35,"Manual (hand-tuning)","",""
33,"Not reported","",""
31,"Approximate Bayesian Computation","",""
21,"Markov Chain Monte Carlo","",""
20,"Not reported","",""
18,"Approximate Bayesian Computation","",""
11,"Markov Chain Monte Carlo","",""
10,"Manual (hand-tuning)","",""
4,"Least squares estimation","",""
