"Covidence..","Study.ID","Title","Reviewer.Name","Study.DOI","Year.published","Full.title","Study.setting","Disease.type..choose.all.that.apply.","Model.type","X.Other..details","Stochasticity.in.model","Scientific.problem.being.solved","How.many.parameters.were.calibrated.","External.beliefs.or.evidence","Choice.of.parameters.to.calibrate","What.justification.was.provided.for.choice.of.parameters.to.calibrate.","X.Other..details.","Type.of.data.used.for.defining.calibration.targets..select.all.that.apply.","X.Other..details..1","How.many.calibration.targets.were.used.for.estimation.","Resolution.of.data..used.for.defining.calibration.targets","Number.of.steps..single.or.sequential.","Name.of.calibration.algorithm","X.Other..details..2","Is.calibration.implementation..code..available.in.an.open.access.repository.","What.programming.language.was.used.for.calibration.","Do.authors.list.any.programming.packages.used.for.calibration.","Goodness.of.fit..GOF..measure.employed.within.calibration.algorithm","If..Not.clear...paste.the.relevant.text.here..","X.Other..details.1","Nature.of.calibration.results","X.Other..details.2","How.are.calibration.results.reported.","X.Other..details..3","How.is.uncertainty.in.calibration.outputs.reported.","X.Other..details..4","What.is.the.size.of.the.calibration.output."
2285,"Arinaminpathy 2019","Strategies for ending tuberculosis in the South-East Asian Region: A modelling approach.","Consensus","https://doi.org/10.4103/ijmr.ijmr_1901_18",2019,"Strategies for ending tuberculosis in the South-East Asian Region: A modelling approach.","Bangladesh, Bhutan, Democratic People's Republic of Korea, India, Indonesia, Maldives, Myanmar, Nepal, Sri Lanka, Thailand, Timor-Leste","TB","Compartmental ","","Not reported","Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are uncertain.","","Incidence ; Notifications / diagnoses; Prevalence; Other ","estimated proportion of incident TB disease having DR-TB","Multiple ","Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Maximum likelihood estimation","Bayesian melding","Not reported ","Not reported","No","Data likelihood ","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","Not reported"
2274,"Ragonnet 2019","Strategic Planning for Tuberculosis Control in the Republic of Fiji.","Consensus","https://doi.org/10.3390/tropicalmed4020071",2019,"Strategic Planning for Tuberculosis Control in the Republic of Fiji","The Republic of Fiji","TB","Compartmental ","","Not reported","Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are uncertain.","","Incidence ","","Single ","Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Markov Chain Monte Carlo","","Not reported ","Not reported","No","Data likelihood ","","","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","10,000"
2228,"Choinski 2019","Simple criss-cross model of epidemic for heterogeneous populations","Consensus","https://doi.org/10.1016/j.cnsns.2019.104920",2019,"Simple criss-cross model of epidemic for heterogeneous populations","Poland","TB","Compartmental ","","Deterministic model ","Understand disease mechanisms (e.g., through inference on a parameter) ","Multiple","Not reported","Subset of parameters","Not reported ","","Demographic (e.g., population size, sex and age distribution)","","Not reported ","Not reported ","Not reported","Not reported","","Not reported ","Not reported","No","Not reported","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Uncertainty in calibration outputs is not reported.","","Not reported"
2211,"Mukhtar 2020","Assessing the role of human mobility on malaria transmission.","Consensus","https://doi.org/10.1016/j.mbs.2019.108304",2020,"Assessing the role of human mobility on malaria transmission","South Sudan","Malaria","Compartmental ","","Stochastic model ","Understand disease mechanisms (e.g., through inference on a parameter) ","Multiple","Not reported","Subset of parameters","Not reported ","","Incidence ; Notifications / diagnoses","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Maximum likelihood estimation","","Link reported and accessible","R","Yes","Data likelihood ","","","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","1,000"
2210,"Menzies 2020","Comparative Modeling of Tuberculosis Epidemiology and Policy Outcomes in California.","Consensus","https://doi.org/10.1164/rccm.201907-1289oc",2020,"Comparative Modeling of Tuberculosis Epidemiology and Policy Outcomes in California","United States of America","TB","Other","Compartmental for the Harvard model, 
Individual-based for the JHSPH model, 
Individual-based for the UCSF model","Stochastic model ","Evaluate interventions; Assess impact of model assumptions","Not reported","Not reported","Not reported","Parameters are uncertain.","","Incidence ; Notifications / diagnoses; Other ","Mortality","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Not reported","Markov Chain Monte Carlo","","Not reported ","Not reported","No","Not reported","","","Sample estimate (multiple parameter sets)","","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","Not reported"
2155,"Cilloni 2020","Trade-offs between cost and accuracy in active case finding for tuberculosis: A dynamic modelling analysis.","Consensus","https://doi.org/10.1371/journal.pmed.1003456",2020,"Trade-offs between cost and accuracy in active case finding for tuberculosis: A dynamic modelling analysis.","India","TB","Compartmental ","","Deterministic model ","Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are uncertain.","","Climate (e.g., temperature, humidity, rainfall); Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","drug resistant TB fraction, symptomatic fraction, smear-positive fraction","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Manual (hand-tuning)","Latin hypercube sampling to sample model parameters from their respective ranges (10,000 samples) and Parameter sets were accepted in the sampling if they provided model projections that fell within the calibration target ranges.","Not reported ","Not reported","No","Ad-hoc distance function (as in Approximate Bayesian Computation or least squares)","Parameter sets that yielded 2018 projections within the calibration target ranges were accepted, and others were rejected.","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","10,000"
2137,"Medeiros-Sousa 2021","A mathematical model for zoonotic transmission of malaria in the Atlantic Forest: Exploring the effects of variations in vector abundance and acrodendrophily","Consensus","https://doi.org/10.1371/journal.pntd.0008736",2021,"A mathematical model for zoonotic transmission of malaria in the Atlantic Forest: Exploring the effects of variations in vector abundance and acrodendrophily","Brazil","Malaria","Compartmental ","","Deterministic model ","Understand disease mechanisms (e.g., through inference on a parameter) ","Multiple","Not reported","Subset of parameters","Parameters are uncertain.","","Not reported ","","Not reported ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Markov Chain Monte Carlo","","Not reported ","R","Yes","Not reported","","","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.","","2,000"
2131,"Kuddus 2021","Scenario analysis for programmatic tuberculosis control in Bangladesh: a mathematical modelling study.","Consensus","https://doi.org/10.1038/s41598-021-83768-y",2021,"Scenario analysis for programmatic tuberculosis control in Bangladesh: a mathematical modelling study","Bangladesh","TB","Compartmental ","","Deterministic model ","Evaluate interventions; Predict disease trends ","Multiple","Not reported","Subset of parameters","Not reported ","","Incidence ","","Multiple ","Modeled estimates  (e.g., WHO TB incidence estimates)","Not reported","Least squares estimation","","Not reported ","Not reported","No","Ad-hoc distance function (as in Approximate Bayesian Computation or least squares)","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Uncertainty in calibration outputs is not reported.","","1"
2098,"Citron 2021","Quantifying malaria acquired during travel and its role in malaria elimination on Bioko Island","Consensus","10.1186/s12936-021-03893-x",2021,"Quantifying malaria acquired during travel and its role in malaria elimination on Bioko Island","Equatorial Guinea","Malaria","Individual-based ","","Stochastic model ","Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions","Single ","Not reported","Subset of parameters","Parameters are relevant to question of interest.","","Other ","Vector ecology (P. falciparum parasite rate)","Single ","Modeled estimates  (e.g., WHO TB incidence estimates)","Not reported","Not reported","","Link reported and accessible","Not reported","No","Not reported","","","Not reported ","","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","1000"
2088,"Arinaminpathy 2021","Engaging with the private healthcare sector for the control of tuberculosis in India: cost and cost-effectiveness.","Consensus","http://dx.doi.org/10.1136/bmjgh-2021-006114",2021,"Engaging with the private healthcare sector for the control of tuberculosis in India: cost and cost-effectiveness","India","TB","Compartmental ","","Not reported","Evaluate interventions","Multiple","Not reported","Subset of parameters","Not reported ","","Incidence ; Prevalence; Other ","Percent of incident TB that is drug-resistant","Multiple ","Not reported ","Not reported","Other "," Bayesian melding","Not reported ","Not reported","No","Not reported","","","Not reported ","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Uncertainty in calibration outputs is not reported.","","Not reported"
2084,"Ndii 2021","Understanding the effects of individual awareness and vector controls on malaria transmission dynamics using multiple optimal control","Consensus","https://doi.org/10.1016/j.chaos.2021.111476",2021,"Understanding the effects of individual awareness and vector controls on malaria transmission dynamics using multiple optimal control","Indonesia","Malaria","Compartmental ","","Not reported","Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions","Multiple","No prior knowledge is incorporated for parameters to be calibrated. ","Subset of parameters","Not reported ","","Incidence ; Notifications / diagnoses","","Single ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Least squares estimation","","Not reported ","Matlab","No","Not reported","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","1"
2083,"Kuddus 2022","Modelling and analysis of human-mosquito malaria transmission dynamics in Bangladesh","Consensus","https://doi.org/10.1016/j.matcom.2021.09.021",2022,"Modelling and analysis of human-mosquito malaria transmission dynamics in Bangladesh","Bangladesh","Malaria","Compartmental ","","Deterministic model ","Understand disease mechanisms (e.g., through inference on a parameter) ","Multiple","Not reported","Subset of parameters","Not reported ","","Incidence ","","Single ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Not reported","Least squares estimation","","Not reported ","Matlab","Yes","Ad-hoc distance function (as in Approximate Bayesian Computation or least squares)","","","Sample estimate (multiple parameter sets)","","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","1000"
2078,"Ayabina 2021","The impact of active case finding on transmission dynamics of tuberculosis: A modelling study.","Consensus","10.1371/journal.pone.0257242",2021,"The impact of active case finding on transmission dynamics of tuberculosis: A modelling study","Vietnam , Nepal","TB","Not reported","","Not reported","Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are relevant to question of interest.","","Incidence ; Treatment and treatment outcomes (e.g., mortality, recovery)","","Single ","Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Markov Chain Monte Carlo","","Not reported ","Not reported","No","Not reported","","","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","10000"
2061,"Champagne 2022","Using observed incidence to calibrate the transmission level of a mathematical model for Plasmodium vivax dynamics including case management and importation.","Consensus","https://doi.org/10.1016/j.mbs.2021.108750",2021,"Using observed incidence to calibrate the transmission level of a mathematical model for Plasmodium vivax dynamics including case management and importation","Panama","Malaria","Compartmental ","","Deterministic model ","Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are uncertain.","","Incidence ; Other ","Proportion of imported cases","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ","Other ","inference on parameter in the Bayesian framework","Link reported and accessible","R","No","Not reported","","","Sample estimate (multiple parameter sets)","","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","10,000"
2058,"Karmakar 2022","Estimating tuberculosis drug resistance amplification rates in high-burden settings.","Consensus","https://doi.org/10.1186/s12879-022-07067-1",2022,"Estimating tuberculosis drug resistance amplification rates in high-burden settings","Philippines, Viet Nam","TB","Compartmental ","","Deterministic model ","Understand disease mechanisms (e.g., through inference on a parameter) ; Assess impact of model assumptions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are uncertain.","","Notifications / diagnoses; Prevalence","drug-resistance prevalence","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Markov Chain Monte Carlo","Adaptive Metropolis (AM) algorithm","Link reported and accessible","Python","No","Other ","","An AM algorithm adapts continuously to the target distribution.","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","25000"
2048,"Ragonnet 2022","Estimating the long-term effects of mass screening for latent and active tuberculosis in the Marshall Islands.","Consensus","https://doi.org/10.1093/ije/dyac045",2022,"Estimating the long-term effects of mass screening for latent and active tuberculosis in the Marshall Islands","Marshall Islands","TB","Compartmental ","","Deterministic model ","Evaluate interventions; Predict disease trends ","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Not reported ","","Demographic (e.g., population size, sex and age distribution); Notifications / diagnoses; Prevalence","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Markov Chain Monte Carlo","","Link reported and accessible","Not reported","No","Data likelihood ","","","Distribution estimate (a distribution function which generates parameter values)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","105,000"
2047,"Panchal 2022","A noninteger order SEITR dynamical model for TB","Consensus","https://doi.org/10.1186/s13662-022-03700-0",2022,"A noninteger order SEITR dynamical model for TB","India","TB","Compartmental ","","Not reported","Assess impact of model assumptions","Multiple","Not reported","Subset of parameters","Not reported ","","Notifications / diagnoses","","Single ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Not reported","Least squares estimation","","Not reported ","Not reported","No","Not reported","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Uncertainty in calibration outputs is not reported.","","1"
2007,"Laxmi 2022","An evolutionary game model of individual choices and bed net use: elucidating key aspect in malaria elimination strategies.","Consensus","https://doi.org/10.1098/rsos.220685",2022,"An evolutionary game model of individual choices and bed net use: elucidating key
aspect in malaria elimination strategies","","Malaria","Compartmental ","","Deterministic model ","Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions","Multiple","Not reported","Subset of parameters","Parameters are uncertain.","","Contact/exposure (e.g., number of sexual partners, number of mosquito bites); Cost; Other "," number of individuals using insecticide-treated net (ITNs) improperly ","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Not reported","Not reported","","Not reported ","Not reported","No","Not reported","","","Not reported ","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Uncertainty in calibration outputs is not reported.","","Not reported"
1970,"Beloconi 2023","Malaria, climate variability, and interventions: modelling transmission dynamics.","Consensus","https://doi.org/10.1038/s41598-023-33868-8",2023,"Malaria, climate variability, and interventions: modelling transmission dynamics","Kenya","Malaria","Compartmental ","","Stochastic model ","Understand disease mechanisms (e.g., through inference on a parameter) ; Predict disease trends ","Multiple","No prior knowledge is incorporated for parameters to be calibrated. ","All parameters","Parameters are relevant to question of interest.","","Climate (e.g., temperature, humidity, rainfall); Incidence ; Other ","proportion of bed net use ","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Not reported","Other ","sequential Monte Carlo method based on particle filtering","Not reported ","R","Yes","Data likelihood ","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","1"
1966,"Nekkab 2023","Accelerating towards P. vivax elimination with a novel serological test-and-treat strategy: a modelling case study in Brazil","Consensus","https://doi.org/10.1016/j.lana.2023.100511

",2023,"Accelerating towards P. vivax elimination with a novel serological test-and-treat strategy: a modelling case study in Brazil","Brazil","Malaria","Individual-based ","","Stochastic model ","Evaluate interventions","Single ","Not reported","Subset of parameters","Not reported ","","Contact/exposure (e.g., number of sexual partners, number of mosquito bites); Incidence ; Notifications / diagnoses","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Not reported","Not reported","","Link reported and accessible","Not reported","No","Not reported","","","Not reported ","","Calibration results are not reported. ",NA,"Uncertainty in calibration outputs is not reported.","","Not reported"
1961,"Cho 2023","Cost-Effectiveness of Age-Expanding Strategy of Latent Tuberculosis Infection Treatment in Household Contacts in South Korea.","Consensus","https://doi.org/10.3349/ymj.2022.0624",2023,"Cost-Effectiveness of Age-Expanding Strategy of Latent Tuberculosis Infection Treatment in Household Contacts in South Korea","South Korea","TB","Compartmental ","","Deterministic model ","Evaluate interventions","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Not reported ","","Notifications / diagnoses","","Single ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Not reported","Maximum likelihood estimation","","Not reported ","Not reported","No","Data likelihood ","","","Point estimate (single parameter / parameter set)","","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Uncertainty in calibration outputs is not reported.","","1"
1960,"Cao 2023","Treatment strategies for the latent tuberculosis infections.","Consensus","https://doi.org/10.1007/s00285-023-01927-3",2023,"Treatment strategies for the latent tuberculosis infections","China","TB","Compartmental ","","Not reported","Evaluate interventions","Multiple","Not reported","Subset of parameters","Parameters are uncertain.","","Notifications / diagnoses","","Single ","Not reported ","Not reported","Not reported","","Not reported ","Not reported","No","Not reported","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Uncertainty in calibration outputs is not reported.","","1"
1958,"Georgiev 2023","Mathematical Identification Analysis of a Fractional-Order Delayed Model for Tuberculosis.","Consensus","10.3390/fractalfract7070538 ",2023,"Mathematical Identification Analysis of a Fractional-Order Delayed Model for Tuberculosis","Pakistan","TB","Compartmental ","","Deterministic model ","Understand disease mechanisms (e.g., through inference on a parameter) ; Predict disease trends ","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are relevant to question of interest.; Parameters are uncertain.","","Climate (e.g., temperature, humidity, rainfall); Incidence ; Treatment and treatment outcomes (e.g., mortality, recovery)","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Not reported","Least squares estimation","","Not reported ","Matlab","No","Ad-hoc distance function (as in Approximate Bayesian Computation or least squares)","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","4"
1957,"Chennaf 2023","Analysis of the Dynamics of Tuberculosis in Algeria Using a Compartmental VSEIT Model with Evaluation of the Vaccination and Treatment Effects","Consensus","https://doi.org/10.3390/computation11070146",2023,"Analysis of the Dynamics of Tuberculosis in Algeria Using
a Compartmental VSEIT Model with Evaluation of the
Vaccination and Treatment Effects","Algeria","TB","Compartmental ","","Not reported","Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions","Multiple","Not reported","Subset of parameters","Not reported ","","Notifications / diagnoses","","Single ","Modeled estimates  (e.g., WHO TB incidence estimates)","Calibration was done as a single step (i.e., all parameters were calibrated at once). ","Least squares estimation","","Not reported ","Matlab","No","Ad-hoc distance function (as in Approximate Bayesian Computation or least squares)","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).",NA,"Uncertainty in calibration outputs is not reported.","","Not reported"
1954,"Scarponi 2023","Is neglect of self-clearance biasing TB vaccine impact estimates?","Consensus","https://doi.org/10.1136/bmjgh-2023-012799",2023,"Is neglect of self-clearance biasing TB vaccine impact estimates?","China, India","TB","Compartmental ","","Deterministic model ","Evaluate interventions; Assess impact of model assumptions","Multiple","Not reported","Subset of parameters","Parameters are relevant to question of interest.","","Incidence ; Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery); Other ","Mortality, Proportion of prevalent TB that is subclinical; Protection against reinfection in early compartments; Reactivation rate","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Not reported","Other "," history matching with emulation","Not reported ","R","Yes","Not reported","","","Sample estimate (multiple parameter sets)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","1,000"
1953,"Pando 2023","A social network analysis model approach to understand tuberculosis transmission in remote rural Madagascar","Consensus","https://doi.org/10.1186/s12889-023-16425-w",2023,"A social network analysis model approach to understand tuberculosis transmission in remote rural Madagascar","Madagascar","TB","Individual-based ","","Stochastic model ","Evaluate interventions; Predict disease trends ","Single ","Not reported","Subset of parameters","Not reported ","","Prevalence","","Single ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Not reported","Not reported","","Not reported ","R","Yes","Not reported","","","Not reported ","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","Not reported"
1951,"Swartwood 2023","Tabby2: a user-friendly web tool for forecasting state-level TB outcomes in the United States.","Consensus","https://doi.org/10.1186/s12916-023-02785-y",2023,"Tabby2: a user-friendly web tool for forecasting state-level TB outcomes in the United States","United States of America","TB","Compartmental ","","Not reported","Evaluate interventions; Predict disease trends ","Multiple","Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.","Subset of parameters","Parameters are uncertain.","","Demographic (e.g., population size, sex and age distribution); Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)","Not reported","Maximum likelihood estimation","","Link reported and accessible","R; C++","No","Data likelihood ","","","Point estimate (single parameter / parameter set)","","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","1"
1949,"Guo 2023","Global Dynamics of an Age-Structured Tuberculosis Model with Vaccine Failure and Nonlinear Infection Force.","Consensus","https://doi.org/10.3390/axioms12090805",2023,"Global Dynamics of an Age-Structured Tuberculosis Model with Vaccine Failure and Nonlinear Infection Force","China","TB","Compartmental ","","Not reported","Evaluate interventions","Multiple","Not reported","Subset of parameters","Parameters are uncertain.","","Notifications / diagnoses","","Single ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Not reported","Other ","Grey Wolf Optimizer (GWO)","Not reported ","Matlab","Yes","Not reported","","","Point estimate (single parameter / parameter set)","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.","","1"
1937,"Kalula 2023","Optimal control and cost-effectiveness analysis of age-structured malaria model with asymptomatic carrier and temperature variability.","Consensus","https://doi.org/10.1080/17513758.2023.2199766",2023,"Optimal control and cost-effectiveness analysis of age-structured malaria model with asymptomatic carrier and temperature variability.","Tanzania","Malaria","Compartmental ","","Deterministic model ","Evaluate interventions","Multiple","Not reported","Subset of parameters","Not reported ","","Incidence ","","Multiple ","Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Not reported","Not reported","","Not reported ","Matlab","No","Not reported","","","Not reported ","","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ",NA,"Uncertainty in calibration outputs is not reported.","","Not reported"
