Covidence.ID,Other_Type.of.data.used.for.defining.calibration.targets..select.all.that.apply.,Léa's Proposed Reclassifications,,,,,,,
1545,DS-TB,Notifications / diagnoses,Drug resitance,,,,,,
1545, MDR-TB reported cases,Notifications / diagnoses,Drug resitance,,,,,,
1528,Plasmodium falciparum parasite prevalence,"Contact/exposure (e.g., number of sexual partners, number of mosquito bites)",,,,,,,
1521,Artemisinin-resistant allele frequency ,Drug resitance,,,,,,,
1405,annual risk of infection (ARI),N/A,,,,,,,
1393,ARTI (Annual Risk of Transmission),N/A,,,,,,,
1393,proportion of TB cases being multi-drug resistant,Drug resitance,,,,,,,
1351,Needle distribution,"Contact/exposure (e.g., number of sexual partners, number of mosquito bites)",,,,,,,
1333,transition times (T),N/A,,,,,,,
1333,genetic sequences (H),N/A,,,,,,,
1273,Immunity,N/A,,,,,,,
1259,TB screening data,Notifications / diagnoses,,,,,,,
1240,Immunity,N/A,,,,,,,
1239,Behavioral,N/A,,,,,,,
1233,Surveillance,Notifications / diagnoses,,,,,,,
1233, routing testing,Notifications / diagnoses,,,,,,,
1232,percentage of recurrent TB cases ,N/A,,,,,,,
1222,Mortality rate,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
1216,clinical malaria,Notifications / diagnoses,,,,,,,
1197,Mortality,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
1179,mortality,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
1160,mortality,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
1159,Mortality,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
1155,Resistance,Drug resitance,,,,,,,
1140,MDR-TB percentage among new TB cases,Drug resitance,,,,,,,
1078,Proportion of TB cases coinfected with HIV,N/A,,,,,,,
1078, Percentage of HIV cases being hospitalised annually ,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
1072,annual number of Danish MSM who become infected abroad,N/A,,,,,,,
1072, the number of non-resident MSM who arrive infected with HIV.,N/A,,,,,,,
1071,7-year outcome risk,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
1071, 7-year survival curve under each treatment initiation strategy,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
1069,proportion of men and women tested for HIV,Notifications / diagnoses,,,,,,,
958,Metrics of disease progression (i.e. CD4 counts),"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
956,Deaths,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
944,Mortality,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
936,Deaths,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
910,tranmission parameter inferred from genetic data,N/A,,,,,,,
907,Mortality,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
904,sexual network structure,"Contact/exposure (e.g., number of sexual partners, number of mosquito bites)",,,,,,,
904, sexual behavior,"Contact/exposure (e.g., number of sexual partners, number of mosquito bites)",,,,,,,
904, and within-host HIV viral dynamics,N/A,,,,,,,
889,injection frequency,"Contact/exposure (e.g., number of sexual partners, number of mosquito bites)",,,,,,,
889, probability of HIV transmission per sexual act/per injection,N/A,,,,,,,
868,CD4 cell count at diagnosis by year,Disease severity/ clinical status,,,,,,,
867,proportion aware of HIV status,Notifications / diagnoses,,,,,,,
867, proportion of those aware currently on ART,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
867, and proportion of PLHIV,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
863,HIV care within 1 month of HIV testing plus retention in care at 12 months after HIV testing for people living with HIV (PLWH) ,,,,,,,,
861,Mortality,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
826,CD4 counts,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
805,proportion of PWID high-risk,"Contact/exposure (e.g., number of sexual partners, number of mosquito bites)",,,,,,,
805, proportion of incident HIV infections due to sexual risk,Incidence,"Contact/exposure (e.g., number of sexual partners, number of mosquito bites)",,,,,,
798,Deaths,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
781,Number of screenings; number of laboratory tests,Notifications / diagnoses,,,,,,,
721, routine antibody testing data,Notifications / diagnoses,,,,,,,
680,PrEP-indication proportion of the MSM population,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
680,overall levels of awareness of HIV-positive status,Notifications / diagnoses,,,,,,,
660,Increased risk for women to acquire HIV compared to men,N/A,,,,,,,
631,Mortality,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
603,linkage to care,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
586,contraceptive use,"Contact/exposure (e.g., number of sexual partners, number of mosquito bites)",,,,,,,
487,the CD4 cell count at diagnosis (2013â€“2017),Disease severity/ clinical status,,,,,,,
487,"the proportion of PLHIV with knowledge of their status (2005, 2008, 2017)",Notifications / diagnoses,,,,,,,
482,CD4 cell count at diagnosis,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
373,Surveillance,N/A,,,,,,,
373, deaths,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
359,Mortality,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
355,proportion of adults who self-report having ever been tested for HIV,Notifications / diagnoses,,,,,,,
355,  total number of HIV tests conducted each years,Notifications / diagnoses,,,,,,,
355, and number of HIV-positive tests,Notifications / diagnoses,,,,,,,
354,migration rates,N/A,,,,,,,
325,fraction of population screened,Notifications / diagnoses,,,,,,,
305,CD4 counts and HIV/AIDS-related deaths,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
292,Mortality,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
292, HIV-positivity in TB deaths,N/A,,,,,,,
287,contraceptive data,"Contact/exposure (e.g., number of sexual partners, number of mosquito bites)",,,,,,,
277,Transmissions,"Contact/exposure (e.g., number of sexual partners, number of mosquito bites)",,,,,,,
277, the % aware,Notifications / diagnoses,,,,,,,
277, and % VLS (virally suppressed),"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
268,Mortality,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
265,Transmission intensity,N/A,,,,,,,
243,Mortality,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
224,Screening,Notifications / diagnoses,,,,,,,
215,"Percentage susceptible, Infected, AIDS",N/A,,,,,,,
117,Deaths,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
79,Mortality,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
37,median CD4 cell count at diagnosis,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
37,probability of having HIV infection diagnosed during hospitalization,Notifications / diagnoses,,,,,,,
37,monthly probability of having HIV infection diagnosed in the community.,Notifications / diagnoses,,,,,,,
31,screening rates,Notifications / diagnoses,,,,,,,
31,linkage to care,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
21,size of HIV-negative population,"Demographic (e.g., population size, sex and age distribution)",,,,,,,
11,viral suppression among PWH,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
1247,risk behaviors,"Contact/exposure (e.g., number of sexual partners, number of mosquito bites)",,,,,,,
1247, condom usage,"Contact/exposure (e.g., number of sexual partners, number of mosquito bites)",,,,,,,
1247, HIV transmission probabilities,N/A,,,,,,,
1247, disease progression rates,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
