Covidence #,Study ID,Title,Reviewer Name,Study DOI,Year published ,Full title,Study setting ,Disease type (choose all that apply),Model type,"""Other"" details",Stochasticity in model ,Scientific problem being solved,How many parameters were calibrated?,External beliefs or evidence,Choice of parameters to calibrate ,What justification was provided for choice of parameters to calibrate?,"""Other"" details.",Type of data used for defining calibration targets (select all that apply),"""Other"" details ",How many calibration targets were used for estimation?,Resolution of data  used for defining calibration targets,Number of steps: single or sequential? ,Name of calibration algorithm ,"""Other"" details ",Is calibration implementation (code) available in an open-access repository? ,What programming language was used for calibration?,Do authors list any programming packages used for calibration?,Goodness-of-fit (GOF) measure employed within calibration algorithm,"If ""Not clear"", paste the relevant text here. ","""Other"" details",Nature of calibration results,"""Other"" details",How are calibration results reported? ,"""Other"" details.",How is uncertainty in calibration outputs reported? ,"""Other"" details.", What is the size of the calibration output?
3123,Zupko 2022,Long-term effects of increased adoption of artemisinin combination therapies in Burkina Faso.,Consensus," https://doi.org/
10.1371/journal.pgph.0000111",2022,Long-term effects of increased adoption of artemisinin combination therapies in Burkina Faso,Burkina Faso,Malaria,Individual-based ,"",Stochastic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are relevant to question of interest.,"","Climate (e.g., temperature, humidity, rainfall); Contact/exposure (e.g., number of sexual partners, number of mosquito bites); Demographic (e.g., population size, sex and age distribution); Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Maximum likelihood estimation,"",Link reported and accessible,Matlab,No,Not reported,"","",Sample estimate (multiple parameter sets),"","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",Not reported
3115,Horton 2022,Population benefits of addressing programmatic and social determinants of gender disparities in tuberculosis in Viet Nam: A modelling study.,Consensus,https://doi.org/10.1371/journal.pgph.0000784,2022,Population benefits of addressing programmatic and social determinants of gender disparities in tuberculosis in Viet Nam: A modelling study,Viet Nam,TB,Compartmental ,"",Not reported,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Demographic (e.g., population size, sex and age distribution); Incidence ; Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery); Other ",Case notification rate; male to female ratios; proportion multidrug resistant TB,Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Approximate Bayesian Computation,"",Not reported ,R,Yes,Not reported,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",1000
3106,Awine 2022,Assessing the effectiveness of malaria interventions at the regional level in Ghana using a mathematical modelling application.,Consensus,https://doi.org/10.1371/journal.pgph.0000474,2022,Assessing the effectiveness of malaria interventions at the regional level in Ghana using a mathematical modelling application.,Ghana,Malaria,Compartmental ,"",Not reported,Evaluate interventions; Predict disease trends ,Multiple,Not reported,Subset of parameters,Not reported ,"","Climate (e.g., temperature, humidity, rainfall)","",Multiple ,"Modeled estimates  (e.g., WHO TB incidence estimates)",Not reported,Least squares estimation,"",Link reported and accessible,R,Yes,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",1
3097,Versteegh 2022,The epidemiological impact and cost-effectiveness of key population-led PrEP delivery to prevent HIV among men who have sex with men in Thailand: A modelling  study.,Consensus,"https://doi.org/10.1016/j.lansea.2022.100097
",2022,The epidemiological impact and cost-effectiveness of key population-led PrEP delivery to prevent HIV among men who have sex with men in Thailand: A modelling study,Thailand,HIV,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are relevant to question of interest.,"","Contact/exposure (e.g., number of sexual partners, number of mosquito bites); Demographic (e.g., population size, sex and age distribution); Notifications / diagnoses; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Not reported,Other ,Monte Carlo filtering,Not reported ,Not reported,No,Not reported,"","",Sample estimate (multiple parameter sets),"",Numerical: e.g. as value(s).,"","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.","",Not reported
3096,Ochieng 2024,SEIRS model for malaria transmission dynamics incorporating seasonality and awareness campaign.,Consensus,http://doi.org/10.1016/j.idm.2023.11.010,2024,SEIRS model for malaria transmission dynamics incorporating seasonality and awareness campaign,Kenya,Malaria,Compartmental ,"",Deterministic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions",Multiple,Not reported,Subset of parameters,Not reported ,"",Incidence ,Per capita rate of loss of immunity in humans,Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Not reported,Least squares estimation,"",Not reported ,Matlab,Yes,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",1
3090,Sahu 2023,"Population health impact, cost-effectiveness, and affordability of community-based HIV treatment and monitoring in South Africa: A health economics  modelling study.",Consensus,https://doi.org/10.1371%2Fjournal.pgph.0000610,2023,"Population health impact, cost-effectiveness, and affordability of community-based HIV treatment and monitoring in South Africa: A health economics modelling study",South Africa,HIV,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"","Demographic (e.g., population size, sex and age distribution); Incidence ; Prevalence","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Approximate Bayesian Computation,"",Link reported and accessible,Matlab,No,Data likelihood ,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",25
3049,UzunJacobson 2018,"Effects of Reaching National Goals on HIV Incidence, by Race and Ethnicity, in the United States.",Consensus,http://doi.org/10.1097/PHH.0000000000000717,2018,"Effects of Reaching National Goals on HIV Incidence,
by Race and Ethnicity, in the United States",USA,HIV,Compartmental ,"",Not reported,Predict disease trends ,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"","Contact/exposure (e.g., number of sexual partners, number of mosquito bites); Demographic (e.g., population size, sex and age distribution); Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Not reported,Other ,Latin Hypercube Sampling,Not reported ,Matlab,No,Not reported,"","",Sample estimate (multiple parameter sets),"",Numerical: e.g. as value(s).,"",Uncertainty in calibration outputs is not reported.,"",12
3047,Doan 2019,Strategic investment in tuberculosis control in the Republic of Bulgaria.,Consensus," https://doi.org/
10.1017/S0950268819001857",2019,"Strategic investment in tuberculosis control in
the Republic of Bulgaria",Bulgaria,TB,Compartmental ,"",Not reported,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"",Incidence ; Notifications / diagnoses; Prevalence; Other ,Mortality,Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Not reported,Not reported,"",Not reported ,Not reported,No,Not reported,"","",Point estimate (single parameter / parameter set),"","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",Not reported
3034,Fraser 2021,"Overlapping Key Populations and HIV Transmission in Tijuana, Mexico: A Modelling Analysis of Epidemic Drivers.",Consensus,https://doi.org/10.1007/s10461-021-03361-2,2021,"Overlapping Key Populations and HIV Transmission in Tijuana, Mexico:  A Modelling Analysis of Epidemic Drivers",Mexico,HIV,Compartmental ,"",Deterministic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Predict disease trends ",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"","Demographic (e.g., population size, sex and age distribution); Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Other ,Approximate Bayesian Computation Sequential Monte Carlo scheme,Not reported ,Not reported,No,Data likelihood ,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","5,000"
3014,Lou 2018,Comparison of different strategies for controlling HIV/AIDS spreading in MSM,Consensus,https://doi.org/10.1016/j.idm.2018.10.002,2018,Comparison of different strategies for controlling HIV/AIDS spreading in MSM,China,HIV,Compartmental ,"",Not reported,Evaluate interventions,Multiple,Not reported,Subset of parameters,Parameters are uncertain.,"",Prevalence,"",Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Markov Chain Monte Carlo,"",Not reported ,Matlab,No,Not reported,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",500000
3009,Bershteyn 2018,The influence of mobility among high-risk populations on HIV transmission in Western Kenya.,Consensus,https://doi.org/10.1016/j.idm.2018.04.001,2018,The influence of mobility among high-risk populations on HIV transmission in Western Kenya,Kenya,HIV,Individual-based ,"",Stochastic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Demographic (e.g., population size, sex and age distribution); Prevalence","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Not reported,Other ,parallel simultaneous perturbation optimization ,Not reported ,Not reported,No,Data likelihood ,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",250
3008,deMontigny 2018,Assessing the utility of the tipping point ratio to monitor HIV treatment programmes in the era of universal access to ART.,Consensus,https://doi.org/10.1016/j.idm.2018.03.005,2018,"Assessing the utility of the tipping point ratio to monitor HIV
treatment programmes in the era of universal access to ART",South Africa,HIV,Compartmental ,"",Not reported,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Demographic (e.g., population size, sex and age distribution); Incidence ; Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,Not reported ,"Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Other: Other,Monte-Carlo filtering ,Not reported ,Not reported,No,Not reported,"","",Sample estimate (multiple parameter sets),"","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",1000
2999,Chang 2018,Small contribution of gold mines to the ongoing tuberculosis epidemic in South Africa: A modeling-based study,Consensus,https://doi.org/10.1186/s12916-018-1037-3,2018,Small contribution of gold mines to the ongoing tuberculosis epidemic in South Africa: a modeling-based study,South Africa,HIV; TB,Individual-based ,"",Stochastic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Predict disease trends ",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"",Incidence ; Other ,Mortality,Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Other ,incremental mixture importance sampling (IMIS),Not reported ,Not reported,No,Data likelihood ,"","",Distribution estimate (a distribution function which generates parameter values),"","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",200
2966,Hauser 2019,Bridging the gap between HIV epidemiology and antiretroviral resistance evolution: Modelling the spread of resistance in South Africa,Consensus,https://doi.org/10.1371/journal.pcbi.1007083,2019,Bridging the gap between HIV epidemiology and antiretroviral resistance evolution: Modelling the spread of resistance in South Africa,South Africa,HIV,Compartmental ,"",Deterministic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"","Incidence ; Notifications / diagnoses; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Modeled estimates  (e.g., WHO TB incidence estimates)",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Maximum likelihood estimation,"",Not reported ,R,Yes,Data likelihood ,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",1
2949,Sohn 2019,Informing decision-making for universal access to quality tuberculosis diagnosis in India: An economic-epidemiological model,Consensus,https://doi.org/10.1186/s12916-019-1384-8,2019,Informing decision-making for universal access to quality tuberculosis diagnosis in India: an economic-epidemiological model,India,TB,Individual-based ,"",Stochastic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are relevant to question of interest.,"","Incidence ; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Not reported,"",Not reported ,Not reported,No,Not reported,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",2000
2872,Ronoh 2020,Evidence-based modeling of combination control on Kenyan youth HIV/AIDS dynamics,Consensus,https://doi.org/10.1371/journal.pone.0242491,2020,Evidence-based modeling of combination control on Kenyan youth HIV/AIDS dynamics,Kenya,HIV,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,Not reported,Subset of parameters,Parameters are uncertain.,"","Demographic (e.g., population size, sex and age distribution); Prevalence","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Least squares estimation,"",Not reported ,Matlab,Yes,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",1
